7.071068,6.403124,5.830952,5.385165,5.099020,5.000000,5.000000,5.099020,5.385165,5.830952,6.403124,7.071068,7.810250,8.602325,9.433981,10.295630,11.180340,12.083046,13.000000,13.928388,14.866069,15.811388,16.763055,17.720045,18.681542,19.646883,20.615528,21.587033,22.561028,23.537205,24.515301,25.495098,26.476405,27.459060,28.442925,29.427878,30.413813,31.400637,32.388269,33.376639,34.365681,35.355339,36.345564,37.336309,38.327536,39.319207,40.311289,41.303753,42.296572,43.289722,44.283180,45.276926,46.270941,47.265209,48.259714,49.254441,50.249378,51.244512,52.239832,53.235327,54.230987,55.226805,56.222771,57.218878,58.215118,59.211485,60.207973,61.204575,62.201286,63.198101,64.195015,65.192024,66.189123,67.186308,68.183576,69.180922,70.178344,71.175839,72.173402,73.171033,74.168727,75.166482,76.164296,77.162167,78.160092,79.158070,80.156098,81.154174,82.152298,83.150466,84.148678,85.146932,86.145226,87.143560,88.141931,89.140339,90.138782,91.137259,92.135769,93.134312
6.403124,5.656854,5.000000,4.472136,4.123106,4.000000,4.000000,4.123106,4.472136,5.000000,5.656854,6.403124,7.211103,8.062258,8.944272,9.848858,10.770330,11.704700,12.649111,13.601471,14.560220,15.524175,16.492423,17.464249,18.439089,19.416488,20.396078,21.377558,22.360680,23.345235,24.331050,25.317978,26.305893,27.294688,28.284271,29.274562,30.265492,31.256999,32.249031,33.241540,34.234486,35.227830,36.221541,37.215588,38.209946,39.204592,40.199502,41.194660,42.190046,43.185646,44.181444,45.177428,46.173586,47.169906,48.166378,49.162994,50.159745,51.156622,52.153619,53.150729,54.147945,55.145263,56.142675,57.140179,58.137767,59.135438,60.133186,61.131007,62.128898,63.126856,64.124878,65.122961,66.121101,67.119297,68.117545,69.115845,70.114193,71.112587,72.111026,73.109507,74.108029,75.106591,76.105190,77.103826,78.102497,79.101201,80.099938,81.098705,82.097503,83.096330,84.095184,85.094066,86.092973,87.091905,88.090862,89.089842,90.088845,91.087870,92.086915,93.085982
5.830952,5.000000,4.242641,3.605551,3.162278,3.000000,3.000000,3.162278,3.605551,4.242641,5.000000,5.830952,6.708204,7.615773,8.544004,9.486833,10.440307,11.401754,12.369317,13.341664,14.317821,15.297059,16.278821,17.262677,18.248288,19.235384,20.223748,21.213203,22.203603,23.194827,24.186773,25.179357,26.172505,27.166155,28.160256,29.154759,30.149627,31.144823,32.140317,33.136083,34.132096,35.128336,36.124784,37.121422,38.118237,39.115214,40.112342,41.109610,42.107007,43.104524,44.102154,45.099889,46.097722,47.095647,48.093659,49.091751,50.089919,51.088159,52.086467,53.084838,54.083269,55.081757,56.080300,57.078893,58.077534,59.076222,60.074953,61.073726,62.072538,63.071388,64.070274,65.069194,66.068147,67.067131,68.066144,69.065187,70.064256,71.063352,72.062473,73.061618,74.060786,75.059976,76.059187,77.058419,78.057671,79.056942,80.056230,81.055537,82.054860,83.054199,84.053554,85.052925,86.052310,87.051709,88.051122,89.050547,90.049986,91.049437,92.048900,93.048375
5.385165,4.472136,3.605551,2.828427,2.236068,2.000000,2.000000,2.236068,2.828427,3.605551,4.472136,5.385165,6.324555,7.280110,8.246211,9.219544,10.198039,11.180340,12.165525,13.152946,14.142136,15.132746,16.124515,17.117243,18.110770,19.104973,20.099751,21.095023,22.090722,23.086793,24.083189,25.079872,26.076810,27.073973,28.071338,29.068884,30.066593,31.064449,32.062439,33.060551,34.058773,35.057096,36.055513,37.054015,38.052595,39.051248,40.049969,41.048752,42.047592,43.046487,44.045431,45.044423,46.043458,47.042534,48.041649,49.040799,50.039984,51.039201,52.038447,53.037722,54.037024,55.036352,56.035703,57.035077,58.034473,59.033889,60.033324,61.032778,62.032250,63.031738,64.031242,65.030762,66.030296,67.029844,68.029405,69.028979,70.028566,71.028163,72.027772,73.027392,74.027022,75.026662,76.026311,77.025970,78.025637,79.025312,80.024996,81.024688,82.024387,83.024093,84.023806,85.023526,86.023253,87.022985,88.022724,89.022469,90.022219,91.021975,92.021737,93.021503
5.099020,4.123106,3.162278,2.236068,1.414214,1.000000,1.000000,1.414214,2.236068,3.162278,4.123106,5.099020,6.082763,7.071068,8.062258,9.055385,10.049876,11.045361,12.041595,13.038405,14.035669,15.033296,16.031220,17.029386,18.027756,19.026298,20.024984,21.023796,22.022716,23.021729,24.020824,25.019992,26.019224,27.018512,28.017851,29.017236,30.016662,31.016125,32.015621,33.015148,34.014703,35.014283,36.013886,37.013511,38.013156,39.012818,40.012498,41.012193,42.011903,43.011626,44.011362,45.011110,46.010868,47.010637,48.010416,49.010203,50.009999,51.009803,52.009614,53.009433,54.009258,55.009090,56.008928,57.008771,58.008620,59.008474,60.008333,61.008196,62.008064,63.007936,64.007812,65.007692,66.007575,67.007462,68.007353,69.007246,70.007142,71.007042,72.006944,73.006849,74.006756,75.006666,76.006579,77.006493,78.006410,79.006329,80.006250,81.006173,82.006097,83.006024,84.005952,85.005882,86.005814,87.005747,88.005682,89.005618,90.005555,91.005494,92.005435,93.005376
5.000000,4.000000,3.000000,2.000000,1.000000,-1.000000,-1.000000,1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000,30.000000,31.000000,32.000000,33.000000,34.000000,35.000000,36.000000,37.000000,38.000000,39.000000,40.000000,41.000000,42.000000,43.000000,44.000000,45.000000,46.000000,47.000000,48.000000,49.000000,50.000000,51.000000,52.000000,53.000000,54.000000,55.000000,56.000000,57.000000,58.000000,59.000000,60.000000,61.000000,62.000000,63.000000,64.000000,65.000000,66.000000,67.000000,68.000000,69.000000,70.000000,71.000000,72.000000,73.000000,74.000000,75.000000,76.000000,77.000000,78.000000,79.000000,80.000000,81.000000,82.000000,83.000000,84.000000,85.000000,86.000000,87.000000,88.000000,89.000000,90.000000,91.000000,92.000000,93.000000
5.099020,4.123106,3.162278,2.236068,1.414214,1.000000,1.000000,1.414214,2.236068,3.162278,4.123106,5.099020,6.082763,7.071068,8.062258,9.055385,10.049876,11.045361,12.041595,13.038405,14.035669,15.033296,16.031220,17.029386,18.027756,19.026298,20.024984,21.023796,22.022716,23.021729,24.020824,25.019992,26.019224,27.018512,28.017851,29.017236,30.016662,31.016125,32.015621,33.015148,34.014703,35.014283,36.013886,37.013511,38.013156,39.012818,40.012498,41.012193,42.011903,43.011626,44.011362,45.011110,46.010868,47.010637,48.010416,49.010203,50.009999,51.009803,52.009614,53.009433,54.009258,55.009090,56.008928,57.008771,58.008620,59.008474,60.008333,61.008196,62.008064,63.007936,64.007812,65.007692,66.007575,67.007462,68.007353,69.007246,70.007142,71.007042,72.006944,73.006849,74.006756,75.006666,76.006579,77.006493,78.006410,79.006329,80.006250,81.006173,82.006097,83.006024,84.005952,85.005882,86.005814,87.005747,88.005682,89.005618,90.005555,91.005494,92.005435,93.005376
5.385165,4.472136,3.605551,2.828427,2.236068,2.000000,2.000000,2.236068,2.828427,3.605551,4.472136,5.385165,6.324555,7.280110,8.246211,9.219544,10.198039,11.180340,12.165525,13.152946,14.142136,15.132746,16.124515,17.117243,18.110770,19.104973,20.099751,21.095023,22.090722,23.086793,24.083189,25.079872,26.076810,27.073973,28.071338,29.068884,30.066593,31.064449,32.062439,33.060551,34.058773,35.057096,36.055513,37.054015,38.052595,39.051248,40.049969,41.048752,42.047592,43.046487,44.045431,45.044423,46.043458,47.042534,48.041649,49.040799,50.039984,51.039201,52.038447,53.037722,54.037024,55.036352,56.035703,57.035077,58.034473,59.033889,60.033324,61.032778,62.032250,63.031738,64.031242,65.030762,66.030296,67.029844,68.029405,69.028979,70.028566,71.028163,72.027772,73.027392,74.027022,75.026662,76.026311,77.025970,78.025637,79.025312,80.024996,81.024688,82.024387,83.024093,84.023806,85.023526,86.023253,87.022985,88.022724,89.022469,90.022219,91.021975,92.021737,93.021503
5.830952,5.000000,4.242641,3.605551,3.162278,3.000000,3.000000,3.162278,3.605551,4.242641,5.000000,5.830952,6.708204,7.615773,8.544004,9.486833,10.440307,11.401754,12.369317,13.341664,14.317821,15.297059,16.278821,17.262677,18.248288,19.235384,20.223748,21.213203,22.203603,23.194827,24.186773,25.179357,26.172505,27.166155,28.160256,29.154759,30.149627,31.144823,32.140317,33.136083,34.132096,35.128336,36.124784,37.121422,38.118237,39.115214,40.112342,41.109610,42.107007,43.104524,44.102154,45.099889,46.097722,47.095647,48.093659,49.091751,50.089919,51.088159,52.086467,53.084838,54.083269,55.081757,56.080300,57.078893,58.077534,59.076222,60.074953,61.073726,62.072538,63.071388,64.070274,65.069194,66.068147,67.067131,68.066144,69.065187,70.064256,71.063352,72.062473,73.061618,74.060786,75.059976,76.059187,77.058419,78.057671,79.056942,80.056230,81.055537,82.054860,83.054199,84.053554,85.052925,86.052310,87.051709,88.051122,89.050547,90.049986,91.049437,92.048900,93.048375
6.403124,5.656854,5.000000,4.472136,4.123106,4.000000,4.000000,4.123106,4.472136,5.000000,5.656854,6.403124,7.211103,8.062258,8.944272,9.848858,10.770330,11.704700,12.649111,13.601471,14.560220,15.524175,16.492423,17.464249,18.439089,19.416488,20.396078,21.377558,22.360680,23.345235,24.331050,25.317978,26.305893,27.294688,28.284271,29.274562,30.265492,31.256999,32.249031,33.241540,34.234486,35.227830,36.221541,37.215588,38.209946,39.204592,40.199502,41.194660,42.190046,43.185646,44.181444,45.177428,46.173586,47.169906,48.166378,49.162994,50.159745,51.156622,52.153619,53.150729,54.147945,55.145263,56.142675,57.140179,58.137767,59.135438,60.133186,61.131007,62.128898,63.126856,64.124878,65.122961,66.121101,67.119297,68.117545,69.115845,70.114193,71.112587,72.111026,73.109507,74.108029,75.106591,76.105190,77.103826,78.102497,79.101201,80.099938,81.098705,82.097503,83.096330,84.095184,85.094066,86.092973,87.091905,88.090862,89.089842,90.088845,91.087870,92.086915,93.085982
